"GEOID","Total","Hispanic","pct_Hispanic"
"040120205012",769,759,0.986996098829649
"040120205021",1519,1390,0.915075707702436
"040120205022",1101,1078,0.979109900090827
"040120205023",1570,1544,0.98343949044586
"040120206021",445,260,0.584269662921348
"040120206022",973,669,0.687564234326824
"040129402001",1924,1156,0.600831600831601
"040129402002",1119,734,0.655942806076854
"040129403001",802,692,0.86284289276808
"040129403002",827,270,0.326481257557437
"040129403003",1409,809,0.57416607523066
"040129403004",1955,1178,0.602557544757033
"040129800001",0,0,NA
"040130101011",1497,1497,1
"040130101012",2100,2072,0.986666666666667
"040130101013",1189,1189,1
"040130101021",1026,989,0.963937621832359
"040130101022",1542,1528,0.990920881971466
"040130101023",1872,1857,0.99198717948718
"040130304011",1565,1466,0.936741214057508
"040130304012",1370,1370,1
"040130304013",1254,1177,0.93859649122807
"040130304021",648,635,0.979938271604938
"040130304022",1781,1705,0.957327344188658
"040130304023",1848,1826,0.988095238095238
"040130405021",295,271,0.91864406779661
"040130405022",687,498,0.724890829694323
"040130405023",2422,2319,0.957473162675475
"040130405024",1646,1224,0.743620899149453
"040130405061",2054,2054,1
"040130405062",1180,1180,1
"040130405063",853,853,1
"040130405064",1428,1428,1
"040130405071",1440,1426,0.990277777777778
"040130405072",2261,2261,1
"040130405073",782,782,1
"040130405074",1053,1053,1
"040130405075",767,755,0.984354628422425
"040130405121",1703,1671,0.981209630064592
"040130405131",1269,1261,0.993695823483058
"040130405132",1686,1686,1
"040130405141",1747,1721,0.985117344018317
"040130405142",1189,1167,0.981497056349874
"040130405151",2918,1689,0.578821110349555
"040130405152",1763,1681,0.953488372093023
"040130405161",1423,1234,0.86718200983837
"040130405162",2997,2773,0.925258591925259
"040130405171",4334,4074,0.940009229349331
"040130405172",3222,2646,0.82122905027933
"040130405181",1462,943,0.64500683994528
"040130405182",1577,1519,0.963221306277742
"040130405183",881,864,0.980703745743473
"040130405184",2254,1505,0.667701863354037
"040130405185",779,749,0.961489088575096
"040130405191",3091,2708,0.876091879650599
"040130405192",807,807,1
"040130405193",1013,1004,0.99111549851925
"040130405201",2328,2198,0.944158075601375
"040130405202",2041,1729,0.847133757961783
"040130405211",7245,6359,0.877708764665286
"040130405221",1781,1781,1
"040130405222",1266,1266,1
"040130405223",1313,1313,1
"040130405231",2872,2836,0.987465181058496
"040130405241",795,791,0.994968553459119
"040130405242",638,614,0.962382445141066
"040130405251",558,558,1
"040130405252",544,544,1
"040130405253",603,581,0.963515754560531
"040130405254",658,637,0.968085106382979
"040130405255",656,630,0.960365853658537
"040130405256",351,327,0.931623931623932
"040130405261",980,961,0.980612244897959
"040130405262",295,277,0.938983050847458
"040130405263",790,747,0.945569620253165
"040130405271",505,493,0.976237623762376
"040130405272",856,840,0.981308411214953
"040130405273",2313,1985,0.858192823173368
"040130405281",890,876,0.984269662921348
"040130405282",1158,1129,0.974956822107081
"040130405283",847,847,1
"040130405284",676,659,0.974852071005917
"040130405285",1401,1373,0.980014275517488
"040130405286",1267,1267,1
"040130405291",1094,1066,0.974405850091408
"040130405292",830,830,1
"040130405293",204,196,0.96078431372549
"040130405294",931,904,0.970998925886144
"040130405301",1634,1431,0.875764993880049
"040130405302",2246,1661,0.73953695458593
"040130405311",1485,1203,0.81010101010101
"040130405312",753,726,0.964143426294821
"040130405313",448,437,0.975446428571429
"040130405314",1061,1052,0.991517436380773
"040130506031",1000,870,0.87
"040130506032",3291,2389,0.725919173503494
"040130506033",644,264,0.409937888198758
"040130506041",2709,1799,0.664082687338501
"040130506042",1026,379,0.369395711500975
"040130506051",2404,1809,0.752495840266223
"040130506052",1343,1067,0.794489947877885
