"contestKey","contestLongName","contestKey__1","contestLongName__1","districtKey","districtName","numbertoElect","termYears","isQuestion","countiesParticipating","countiesReported","precinctsParticipating","precinctsReported","precinctsReportedPercent","jurisdictionKey","jurisdictionName","isWriteIn","choiceKey","choiceName","partyKey","partyDisplayorder","partyShortName","totalVotes","jurisdictionVotes","choicePollingPlaceVotes","choiceEarlyVotes","choiceProvisionalVotes","choiceMaricopaVotes"
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,743,743,100,8,"Maricopa",FALSE,6391,"McSally, Martha",9,"NULL","REP",672505,672505,0,0,0,672505
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,24,24,100,9,"Mohave",FALSE,6391,"McSally, Martha",9,"NULL","REP",50209,50209,15434,34030,745,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,14,14,100,10,"Navajo",FALSE,6391,"McSally, Martha",9,"NULL","REP",18767,18767,6304,12349,114,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,249,249,100,11,"Pima",FALSE,6391,"McSally, Martha",9,"NULL","REP",160550,160550,31469,123512,5569,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,102,102,100,12,"Pinal",FALSE,6391,"McSally, Martha",9,"NULL","REP",63782,63782,14242,46517,3023,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,24,24,100,13,"Santa Cruz",FALSE,6391,"McSally, Martha",9,"NULL","REP",3828,3828,950,2678,200,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,45,45,100,14,"Yavapai",FALSE,6391,"McSally, Martha",9,"NULL","REP",65308,65308,10942,54070,296,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,44,44,100,15,"Yuma",FALSE,6391,"McSally, Martha",9,"NULL","REP",22532,22532,4386,17822,324,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,1489,1489,100,0,"State",TRUE,7087,"Pearce, Jeff",1,"NULL","IND",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,44,44,100,1,"Apache",TRUE,7087,"Pearce, Jeff",1,"NULL","IND",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,49,49,100,2,"Cochise",TRUE,7087,"Pearce, Jeff",1,"NULL","IND",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,71,71,100,3,"Coconino",TRUE,7087,"Pearce, Jeff",1,"NULL","IND",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,39,39,100,4,"Gila",TRUE,7087,"Pearce, Jeff",1,"NULL","IND",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,22,22,100,5,"Graham",TRUE,7087,"Pearce, Jeff",1,"NULL","IND",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,8,8,100,6,"Greenlee",TRUE,7087,"Pearce, Jeff",1,"NULL","IND",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,11,11,100,7,"La Paz",TRUE,7087,"Pearce, Jeff",1,"NULL","IND",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,743,743,100,8,"Maricopa",TRUE,7087,"Pearce, Jeff",1,"NULL","IND",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,24,24,100,9,"Mohave",TRUE,7087,"Pearce, Jeff",1,"NULL","IND",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,14,14,100,10,"Navajo",TRUE,7087,"Pearce, Jeff",1,"NULL","IND",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,249,249,100,11,"Pima",TRUE,7087,"Pearce, Jeff",1,"NULL","IND",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,102,102,100,12,"Pinal",TRUE,7087,"Pearce, Jeff",1,"NULL","IND",0,0,0,0,0,0
