"contestKey","contestLongName","districtName","jurisdictionName","choiceKey","choiceName","partyShortName","r1107_eb","r1107","r1108","r1109","r1110","r1111","r1112","r1113","r1107_d","r1108_d","r1109_d","r1110_d","r1111_d","r1112_d","r1113_d"
1688,"U.S. Representative in Congress - District No. 5","Congressional District 5","Maricopa",6971,"Biggs, Andy","REP",93483,125782,141432,150732,160815,166186,168488,170741,32299,15650,9300,10083,5371,2302,2253
1688,"U.S. Representative in Congress - District No. 5","Congressional District 5","State",6824,"Greene, Joan","DEM",62511,83894,96758,103943,110019,113297,115078,116584,21383,12864,7185,6076,3278,1781,1506
1688,"U.S. Representative in Congress - District No. 5","Congressional District 5","Maricopa",6824,"Greene, Joan","DEM",62511,83894,96758,103943,110019,113297,115078,116584,21383,12864,7185,6076,3278,1781,1506
1689,"U.S. Representative in Congress - District No. 6","Congressional District 6","State",7049,"Malik, Anita","DEM",72235,95105,108849,116452,123033,125933,127510,129141,22870,13744,7603,6581,2900,1577,1631
1689,"U.S. Representative in Congress - District No. 6","Congressional District 6","Maricopa",7049,"Malik, Anita","DEM",72235,95105,108849,116452,123033,125933,127510,129141,22870,13744,7603,6581,2900,1577,1631
1689,"U.S. Representative in Congress - District No. 6","Congressional District 6","State",6640,"Schweikert, David","REP",93322,122974,136813,145981,153202,156246,157996,159955,29652,13839,9168,7221,3044,1750,1959
1689,"U.S. Representative in Congress - District No. 6","Congressional District 6","Maricopa",6640,"Schweikert, David","REP",93322,122974,136813,145981,153202,156246,157996,159955,29652,13839,9168,7221,3044,1750,1959
1690,"U.S. Representative in Congress - District No. 7","Congressional District 7","State",6407,"Gallego, Ruben","DEM",46188,67796,78804,90468,95009,98021,99713,100995,21608,11008,11664,4541,3012,1692,1282
1690,"U.S. Representative in Congress - District No. 7","Congressional District 7","Maricopa",6407,"Gallego, Ruben","DEM",46188,67796,78804,90468,95009,98021,99713,100995,21608,11008,11664,4541,3012,1692,1282
1690,"U.S. Representative in Congress - District No. 7","Congressional District 7","State",6698,"Swing, Gary","GRN",8958,12647,14193,15539,16097,16464,16626,16855,3689,1546,1346,558,367,162,229
1690,"U.S. Representative in Congress - District No. 7","Congressional District 7","Maricopa",6698,"Swing, Gary","GRN",8958,12647,14193,15539,16097,16464,16626,16855,3689,1546,1346,558,367,162,229
1691,"U.S. Representative in Congress - District No. 8","Congressional District 8","State",6854,"Lesko, Debbie","REP",96142,123681,135180,141492,147545,152063,154086,156175,27539,11499,6312,6053,4518,2023,2089
1691,"U.S. Representative in Congress - District No. 8","Congressional District 8","Maricopa",6854,"Lesko, Debbie","REP",96142,123681,135180,141492,147545,152063,154086,156175,27539,11499,6312,6053,4518,2023,2089
1691,"U.S. Representative in Congress - District No. 8","Congressional District 8","State",6702,"Tipirneni, Hiral","DEM",74756,94583,106361,112037,117326,121545,123199,124801,19827,11778,5676,5289,4219,1654,1602
1691,"U.S. Representative in Congress - District No. 8","Congressional District 8","Maricopa",6702,"Tipirneni, Hiral","DEM",74756,94583,106361,112037,117326,121545,123199,124801,19827,11778,5676,5289,4219,1654,1602
1692,"U.S. Representative in Congress - District No. 9","Congressional District 9","State",6949,"Ferrara, Stephen L","REP",49529,68604,77483,82499,87680,90019,91432,92668,19075,8879,5016,5181,2339,1413,1236
1692,"U.S. Representative in Congress - District No. 9","Congressional District 9","Maricopa",6949,"Ferrara, Stephen L","REP",49529,68604,77483,82499,87680,90019,91432,92668,19075,8879,5016,5181,2339,1413,1236
1692,"U.S. Representative in Congress - District No. 9","Congressional District 9","State",6990,"Stanton, Greg","DEM",73052,100618,118144,127566,136301,139907,142308,144112,27566,17526,9422,8735,3606,2401,1804
1692,"U.S. Representative in Congress - District No. 9","Congressional District 9","Maricopa",6990,"Stanton, Greg","DEM",73052,100618,118144,127566,136301,139907,142308,144112,27566,17526,9422,8735,3606,2401,1804
1619,"Governor","Statewide","State",6420,"Ducey, Doug","REP",744396,982171,1070162,1137089,1192547,1218765,1241028,1252528,237775,87991,66927,55458,26218,22263,11500
1619,"Governor","Statewide","Apache",6420,"Ducey, Doug","REP",3743,7414,7461,9127,9127,9165,9165,9165,3671,47,1666,0,38,0,0
1619,"Governor","Statewide","Cochise",6420,"Ducey, Doug","REP",19017,26477,26477,28805,28805,28805,28805,29637,7460,0,2328,0,0,0,832
1619,"Governor","Statewide","Coconino",6420,"Ducey, Doug","REP",15281,18962,18962,19253,19253,20988,22009,22274,3681,0,291,0,1735,1021,265
1619,"Governor","Statewide","Gila",6420,"Ducey, Doug","REP",9898,12205,13923,14059,14443,14443,14443,14443,2307,1718,136,384,0,0,0
1619,"Governor","Statewide","Graham",6420,"Ducey, Doug","REP",6298,7042,7776,7776,7776,7776,7776,7776,744,734,0,0,0,0,0
1619,"Governor","Statewide","Greenlee",6420,"Ducey, Doug","REP",1437,1637,1637,1637,1637,1637,1637,1637,200,0,0,0,0,0,0
1619,"Governor","Statewide","Maricopa",6420,"Ducey, Doug","REP",423455,559128,624597,662891,698629,717437,726783,736154,135673,65469,38294,35738,18808,9346,9371
1619,"Governor","Statewide","Mohave",6420,"Ducey, Doug","REP",32969,49401,50208,53296,55869,55869,56024,56534,16432,807,3088,2573,0,155,510
1619,"Governor","Statewide","Navajo",6420,"Ducey, Doug","REP",12282,16821,19696,19696,21727,21877,21877,21877,4539,2875,0,2031,150,0,0
1619,"Governor","Statewide","Pima",6420,"Ducey, Doug","REP",114684,148900,148900,158543,168578,168578,175460,175460,34216,0,9643,10035,0,6882,0
1619,"Governor","Statewide","Pinal",6420,"Ducey, Doug","REP",31232,47548,52553,59782,62910,66935,71794,71794,16316,5005,7229,3128,4025,4859,0
1619,"Governor","Statewide","Santa Cruz",6420,"Ducey, Doug","REP",2919,4081,4081,4791,4791,4791,4791,4791,1162,0,710,0,0,0,0
1619,"Governor","Statewide","Yavapai",6420,"Ducey, Doug","REP",54926,57998,68093,70386,71955,73417,73417,73939,3072,10095,2293,1569,1462,0,522
1619,"Governor","Statewide","Yuma",6420,"Ducey, Doug","REP",16255,21126,22367,23616,23616,23616,23616,23616,4871,1241,1249,0,0,0,0
1619,"Governor","Statewide","State",6987,"Garcia, David","DEM",507581,684195,756369,822290,869894,892435,914703,922917,176614,72174,65921,47604,22541,22268,8214
1619,"Governor","Statewide","Apache",6987,"Garcia, David","DEM",3400,12045,12253,14805,14805,14942,14942,14942,8645,208,2552,0,137,0,0
1619,"Governor","Statewide","Cochise",6987,"Garcia, David","DEM",9992,12475,12475,14000,14000,14000,14000,14573,2483,0,1525,0,0,0,573
1619,"Governor","Statewide","Coconino",6987,"Garcia, David","DEM",18874,24853,24853,25459,25459,28268,29506,29928,5979,0,606,0,2809,1238,422
1619,"Governor","Statewide","Gila",6987,"Garcia, David","DEM",3578,4759,5351,5412,5621,5621,5621,5621,1181,592,61,209,0,0,0
1619,"Governor","Statewide","Graham",6987,"Garcia, David","DEM",1764,2385,2569,2569,2569,2569,2569,2569,621,184,0,0,0,0,0
1619,"Governor","Statewide","Greenlee",6987,"Garcia, David","DEM",765,832,832,832,832,832,832,832,67,0,0,0,0,0,0
1619,"Governor","Statewide","Maricopa",6987,"Garcia, David","DEM",284565,389717,449590,487307,517379,533251,542034,548915,105152,59873,37717,30072,15872,8783,6881
1619,"Governor","Statewide","Mohave",6987,"Garcia, David","DEM",8006,11596,11809,12667,13370,13370,13419,13542,3590,213,858,703,0,49,123
1619,"Governor","Statewide","Navajo",6987,"Garcia, David","DEM",5624,10065,12597,12597,13461,13645,13645,13645,4441,2532,0,864,184,0,0
1619,"Governor","Statewide","Pima",6987,"Garcia, David","DEM",117770,145492,145492,159160,172463,172463,181738,181738,27722,0,13668,13303,0,9275,0
1619,"Governor","Statewide","Pinal",6987,"Garcia, David","DEM",13886,22051,24744,29017,30853,33471,36394,36394,8165,2693,4273,1836,2618,2923,0
1619,"Governor","Statewide","Santa Cruz",6987,"Garcia, David","DEM",4826,6852,6852,8404,8404,8404,8404,8404,2026,0,1552,0,0,0,0
