"contestKey","contestLongName","districtName","jurisdictionName","choiceKey","choiceName","partyShortName","r1106_eb","r1106","r1108","r1109","r1110","r1111","r1112","r1113","r1114","r1115","r1116","r1117","r1119"
1690,"U.S. Representative in Congress - District No. 7","Congressional District 7","State",6407,"Gallego, Ruben","DEM",46188,67796,78804,90468,95009,98021,99713,100995,102948,105100,107432,111209,113043
1690,"U.S. Representative in Congress - District No. 7","Congressional District 7","Maricopa",6407,"Gallego, Ruben","DEM",46188,67796,78804,90468,95009,98021,99713,100995,102948,105100,107432,111209,113043
1690,"U.S. Representative in Congress - District No. 7","Congressional District 7","State",6698,"Swing, Gary","GRN",8958,12647,14193,15539,16097,16464,16626,16855,17194,17524,17892,18454,18706
1690,"U.S. Representative in Congress - District No. 7","Congressional District 7","Maricopa",6698,"Swing, Gary","GRN",8958,12647,14193,15539,16097,16464,16626,16855,17194,17524,17892,18454,18706
1691,"U.S. Representative in Congress - District No. 8","Congressional District 8","State",6854,"Lesko, Debbie","REP",96142,123681,135180,141492,147545,152063,154086,156175,158592,160653,163013,166913,168835
1691,"U.S. Representative in Congress - District No. 8","Congressional District 8","Maricopa",6854,"Lesko, Debbie","REP",96142,123681,135180,141492,147545,152063,154086,156175,158592,160653,163013,166913,168835
1691,"U.S. Representative in Congress - District No. 8","Congressional District 8","State",6702,"Tipirneni, Hiral","DEM",74756,94583,106361,112037,117326,121545,123199,124801,126786,128374,130473,133842,135569
1691,"U.S. Representative in Congress - District No. 8","Congressional District 8","Maricopa",6702,"Tipirneni, Hiral","DEM",74756,94583,106361,112037,117326,121545,123199,124801,126786,128374,130473,133842,135569
1692,"U.S. Representative in Congress - District No. 9","Congressional District 9","State",6949,"Ferrara, Stephen L","REP",49529,68604,77483,82499,87680,90019,91432,92668,94264,95538,97452,100173,101662
1692,"U.S. Representative in Congress - District No. 9","Congressional District 9","Maricopa",6949,"Ferrara, Stephen L","REP",49529,68604,77483,82499,87680,90019,91432,92668,94264,95538,97452,100173,101662
1692,"U.S. Representative in Congress - District No. 9","Congressional District 9","State",6990,"Stanton, Greg","DEM",73052,100618,118144,127566,136301,139907,142308,144112,146659,149036,152239,156848,159583
1692,"U.S. Representative in Congress - District No. 9","Congressional District 9","Maricopa",6990,"Stanton, Greg","DEM",73052,100618,118144,127566,136301,139907,142308,144112,146659,149036,152239,156848,159583
1619,"Governor","Statewide","State",6420,"Ducey, Doug","REP",744396,993573,1070162,1137089,1192547,1218765,1241028,1252528,1268103,1284401,1297544,1321475,1330863
1619,"Governor","Statewide","Apache",6420,"Ducey, Doug","REP",3743,7414,7461,9127,9127,9165,9165,9165,9165,9175,9175,9175,9175
1619,"Governor","Statewide","Cochise",6420,"Ducey, Doug","REP",19017,26477,26477,28805,28805,28805,28805,29637,29637,29638,29638,29638,29638
1619,"Governor","Statewide","Coconino",6420,"Ducey, Doug","REP",15281,18962,18962,19253,19253,20988,22009,22274,22586,22778,22778,22778,22778
1619,"Governor","Statewide","Gila",6420,"Ducey, Doug","REP",9898,12205,13923,14059,14443,14443,14443,14443,14443,14444,14444,14444,14444
1619,"Governor","Statewide","Graham",6420,"Ducey, Doug","REP",6298,7042,7776,7776,7776,7776,7776,7776,7776,7776,7776,7776,7776
1619,"Governor","Statewide","Greenlee",6420,"Ducey, Doug","REP",1437,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637
1619,"Governor","Statewide","Maricopa",6420,"Ducey, Doug","REP",423455,559128,624597,662891,698629,717437,726783,736154,747789,757456,770257,790822,800210
1619,"Governor","Statewide","Mohave",6420,"Ducey, Doug","REP",32969,49401,50208,53296,55869,55869,56024,56534,56681,56682,56682,56682,56682
1619,"Governor","Statewide","Navajo",6420,"Ducey, Doug","REP",12282,19696,19696,19696,21727,21877,21877,21877,21880,21880,21880,21880,21880
1619,"Governor","Statewide","Pima",6420,"Ducey, Doug","REP",114684,148900,148900,158543,168578,168578,175460,175460,175460,181255,181255,184621,184621
1619,"Governor","Statewide","Pinal",6420,"Ducey, Doug","REP",31232,47548,52553,59782,62910,66935,71794,71794,75272,75272,75272,75272,75272
1619,"Governor","Statewide","Santa Cruz",6420,"Ducey, Doug","REP",2919,4081,4081,4791,4791,4791,4791,4791,4791,4792,4792,4792,4792
1619,"Governor","Statewide","Yavapai",6420,"Ducey, Doug","REP",54926,66525,68093,70386,71955,73417,73417,73939,73939,74148,74148,74148,74148
1619,"Governor","Statewide","Yuma",6420,"Ducey, Doug","REP",16255,21126,22367,23616,23616,23616,23616,23616,23616,23616,23958,23958,23958
1619,"Governor","Statewide","State",6987,"Garcia, David","DEM",507581,690259,756369,822290,869894,892435,914703,922917,935167,953989,965316,985725,994340
1619,"Governor","Statewide","Apache",6987,"Garcia, David","DEM",3400,12045,12253,14805,14805,14942,14942,14942,14942,14955,14955,14955,14955
1619,"Governor","Statewide","Cochise",6987,"Garcia, David","DEM",9992,12475,12475,14000,14000,14000,14000,14573,14573,14576,14576,14576,14576
1619,"Governor","Statewide","Coconino",6987,"Garcia, David","DEM",18874,24853,24853,25459,25459,28268,29506,29928,30454,30712,30712,30712,30712
1619,"Governor","Statewide","Gila",6987,"Garcia, David","DEM",3578,4759,5351,5412,5621,5621,5621,5621,5621,5623,5623,5623,5623
1619,"Governor","Statewide","Graham",6987,"Garcia, David","DEM",1764,2385,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569
1619,"Governor","Statewide","Greenlee",6987,"Garcia, David","DEM",765,832,832,832,832,832,832,832,832,832,832,832,832
1619,"Governor","Statewide","Maricopa",6987,"Garcia, David","DEM",284565,389717,449590,487307,517379,533251,542034,548915,558193,567086,578077,594439,603054
1619,"Governor","Statewide","Mohave",6987,"Garcia, David","DEM",8006,11596,11809,12667,13370,13370,13419,13542,13580,13580,13580,13580,13580
1619,"Governor","Statewide","Navajo",6987,"Garcia, David","DEM",5624,12597,12597,12597,13461,13645,13645,13645,13646,13646,13646,13646,13646
1619,"Governor","Statewide","Pima",6987,"Garcia, David","DEM",117770,145492,145492,159160,172463,172463,181738,181738,181738,191180,191180,195227,195227
1619,"Governor","Statewide","Pinal",6987,"Garcia, David","DEM",13886,22051,24744,29017,30853,33471,36394,36394,38801,38801,38801,38801,38801
1619,"Governor","Statewide","Santa Cruz",6987,"Garcia, David","DEM",4826,6852,6852,8404,8404,8404,8404,8404,8404,8407,8407,8407,8407
1619,"Governor","Statewide","Yavapai",6987,"Garcia, David","DEM",23665,28292,29191,30305,30922,31843,31843,32058,32058,32159,32159,32159,32159
1619,"Governor","Statewide","Yuma",6987,"Garcia, David","DEM",10866,15298,16746,18741,18741,18741,18741,18741,18741,18741,19077,19077,19077
1619,"Governor","Statewide","State",6829,"Torres, Angel","GRN",24720,34771,38113,41304,43884,45129,46363,46875,47661,48712,49345,50500,50962
1619,"Governor","Statewide","Apache",6829,"Torres, Angel","GRN",225,753,757,902,902,912,912,912,912,912,912,912,912
1619,"Governor","Statewide","Cochise",6829,"Torres, Angel","GRN",745,989,989,1126,1126,1126,1126,1201,1201,1201,1201,1201,1201
1619,"Governor","Statewide","Coconino",6829,"Torres, Angel","GRN",771,1114,1114,1134,1134,1291,1361,1383,1410,1440,1440,1440,1440
1619,"Governor","Statewide","Gila",6829,"Torres, Angel","GRN",285,375,434,444,467,467,467,467,467,468,468,468,468
